qS562,-1 7 -2;-1 1 -4;-1 2 -8;-1 6 -16;, 0, 10, 0.40578104924492275, 0, 0.0, 0.007876550763779527, 0.007984499261904763, 0.013823158684931506, 0.007544817231638418, 0.006577369480582524, 0.007201415129496402, 0.004581658173515982, 0.0038157230190114066, 0.004797906473684211, 0.005764349218390804, 0.00646582406451613, 0.008095902588709677, 0.008294807213114753, 0.006562074595238095, 0.006580268203947368, 39, 39, 1249, 1246, 2454, 1283, 1246, 2454, 1246, 39, 39, 76, 76, 2457, 1249
qS775,-1 46 -2;-1 10 -4;-1 8 -8;-1 47 -16;, 5, 3, 0.15153173990967297, 8, 0.4353572363255692, 0.036006785285714285, 0.030930948424242426, 0.02964214026470588, 0.026851008500000002, 0.02670772128947368, 0.027819120250000003, 0.03152565696875, 0.03469432462068966, 0.03794109622222223, 0.029524461823529413, 0.03494886637931034, 0.026011391307692307, 0.03023396832352941, 0.028015127583333337, 0.034008923633333334, 7294, 9871, 6919, 2979, 2604, 5556, 8136, 5184, 5559, 2604, 2979, 5181, 8133, 2229, 2229
qS1006,-1 46 -2;-1 1 -4;-1 4 -8;-1 47 -16;, 1, 10, 0.6309306056396481, 1, 9.233610341643582E-4, 0.0201732172, 0.01948439219230769, 0.014878264753623187, 0.009490433481132076, 0.008352061624999999, 0.007464958377777777, 0.012073158373493978, 0.012496193865853659, 0.01776013579310345, 0.02651528452631579, 0.020985954333333334, 0.019378835096153846, 0.01995370551923077, 0.011963004988372094, 0.01285135321794872, 165, 141, 4546, 6579, 10961, 6555, 3632, 8038, 3656, 166, 179, 142, 131, 8942, 4547
qS496,-1 10 -2;-1 4 -4;-1 2 -8;-1 6 -16;, 5, 9, 0.7101023695260275, 9, 0.5003305941248701, 0.04706657954545455, 0.0511336448, 0.054723573842105265, 0.060094768882352934, 0.05757424884210526, 0.05560616927777778, 0.042866718375, 0.0500399589, 0.04806336509523809, 0.05345665236842106, 0.06080702029411764, 0.04570045056521739, 0.04416012556521739, 0.05655667477777778, 0.05635154355555556, 10689, 15489, 10199, 5399, 4910, 10207, 14159, 8871, 9359, 5889, 5889, 10697, 15497, 4911, 5399
qS17,-1 9 -2;-1 3 -4;-1 10 -8;-1 47 -16;, 0, 1, 0.017342115449599616, 0, 0.0, 5.814774658169176E-4, 7.297465079941861E-4, 3.973273269765594E-4, 0.007309828766423357, 0.007762704674418605, 0.011015993739130436, 0.004117689452674897, 0.009709607873786406, 0.005938909011834319, 0.005213853104166667, 0.004120257723577235, 0.008714202869565217, 0.003044127030395137, 0.0032504186461038967, 0.0024761677925925927, 6, 6, 6, 38, 60, 87, 27, 49, 111, 139, 90, 104, 55, 3719, 3728
qS1075,-1 5 -2;-1 4 -4;-1 2 -8;-1 6 -16;, 4, 12, 0.6618559608047725, 1, 1.145475372279496E-4, 0.00462384, 0.004130666876363636, 0.004810894913875598, 0.00385117605, 0.007482246470149253, 0.00284548321875, 0.00746845817037037, 0.005820640103448275, 0.008568666666666667, 0.00985118162745098, 0.006236596932098766, 0.002900787284057971, 0.0030490600810810812, 0.00585819718128655, 0.006868076171232878, 7, 8, 34, 6, 7, 6775, 8, 9, 1968, 3928, 1967, 8736, 6776, 1478, 3438
qS742,-1 7 -2;-1 46 -4;-1 47 -8;-1 2 -16;, 8, 4, 0.13444206119302565, 14, 1.0, 0.04534322243478261, 0.035799904535714286, 0.03595266582142857, 0.02865889372222222, 0.034091833433333336, 0.03510800344827587, 0.03097778312121212, 0.030818001303030303, 0.031154856757575757, 0.04722423713636364, 0.03899862976923077, 0.03928917, 0.03465521520689655, 0.02944737462857143, 0.036059485392857145, 3424, 4023, 3425, 2931, 2931, 3427, 3918, 3424, 6145, 5653, 5652, 3428, 3921, 2932, 2933
qS583,-1 9 -2;-1 4 -4;-1 8 -8;-1 6 -16;, 4, 9, 0.37174009808258535, 0, 0.0, 0.0096275105, 0.014021716055555557, 0.009266191935185185, 0.009018067756756756, 0.009269394477064222, 0.006756041212903226, 0.01616486629032258, 0.010375169383838383, 0.009699277, 0.007781191603053436, 0.007431841669064748, 0.005189357918367347, 0.00633566911392405, 0.007137028418439716, 0.006330434734177216, 78, 102, 1177, 49, 44, 6801, 95, 66, 1566, 3045, 1549, 8302, 6830, 1148, 2649
qS104,-1 7 -2;-1 4 -4;-1 10 -8;-1 6 -16;, 5, 14, 1.0, 9, 0.500330406872463, 0.04808419561904762, 0.05739987183333333, 0.056517036222222226, 0.04917170428571429, 0.05554259778947368, 0.060809797000000006, 0.048856565000000005, 0.057542844888888896, 0.05842357105555556, 0.04796533223809524, 0.057786114833333325, 0.050616989099999996, 0.050806664999999994, 0.04802687509523809, 0.05416548089473685, 5880, 5880, 9353, 5390, 4901, 10201, 5390, 5005, 10193, 15486, 10683, 15494, 10691, 8864, 14156
qS116,-1 46 -2;-1 3 -4;-1 4 -8;-1 6 -16;, 1, 12, 0.9004423133413924, 0, 0.0, 0.024429480975609753, 0.027299189783783786, 0.016401126540983604, 0.018135006339285716, 0.016555526721311477, 0.020679062877551023, 0.01759905205263158, 0.01309980925974026, 0.016923678633333335, 0.027380886675675675, 0.02524504125, 0.025269784928571428, 0.028869148742857145, 0.015870491859375, 0.017885946375, 308, 283, 6927, 6952, 13572, 6927, 5603, 12248, 5628, 333, 333, 308, 283, 13572, 6952
